,index,entity_name,model_output
4357,28392,width,110mm
4358,28393,height,76 cm
4359,28394,height,7.316in
4360,28395,width,6cm
4361,28396,item_weight,1 pound
4362,28397,height,170mm
4363,28398,height,18cm
4364,28399,width,7.5cm
4365,28400,depth,2.70in
4366,28401,width,6.85cm
4367,28402,height,"15"""
4368,28403,item_weight,500LBS
4369,28404,maximum_weight_recommendation,500LBS
4370,28405,depth,6cm
4371,28406,height,18cm
4372,28407,depth,3 cm
4373,28408,width,30 cm
4374,28409,height,9.5cm
4375,28410,depth,3 in / 7.5 cm
4376,28411,voltage,"10,000 VA"
4377,28412,wattage,"10,000 BTU"
4378,28413,height,"33.9"""
4379,28414,width,73 mm
4380,28415,depth,12.7 cm
4381,28416,height,36CM
4382,28417,depth,33CM
4383,28418,height,26cm
4384,28419,width,26cm
4385,28420,depth,26cm
4386,28421,depth,53 INCH x 80 INCH
4387,28422,height,53 INCH
4388,28423,width,53 INCH
4389,28424,depth,135mm
4390,28425,width,135mm
4391,28426,width,"61.85"""
4392,28427,maximum_weight_recommendation,330lbs
4393,28428,voltage,3.3V
4394,28429,width,12in/300mm
4395,28430,depth,12in/300mm
4396,28431,height,12in/300mm
4397,28432,height,"33.5"""
4398,28433,item_weight,"8,500 Cubic Feet Per Minute"
4399,28434,wattage,33 Watts
4400,28435,voltage,330V
4401,28436,voltage,48V
4402,28437,item_weight,25 lb
4403,28438,depth,17.5 cm
4404,28439,height,17.5 cm
4405,28440,voltage,110VAC
4406,28441,item_weight,1 Lb
4407,28442,wattage,800W
4408,28443,height,3.88 in
4409,28444,width,0.71 in
4410,28445,voltage,21.6V
4411,28446,height,5.71in
4412,28447,width,5.3in
4413,28448,width,66cm
4414,28449,width,20cm
4415,28450,depth,29cm
4416,28451,width,50cm
4417,28452,depth,50cm
4418,28453,voltage,3.3V
4419,28454,height,"21.88"""
4420,28455,item_weight,12.38 Pounds
4421,28456,height,10cm
4422,28457,width,25.5 cm
4423,28458,wattage,The image does not provide any information about the wattage of the item.
4424,28459,item_weight,The image does not provide the item_weight of the item.
4425,28460,voltage,DC24V
4426,28461,wattage,20W
4427,28462,height,2M
4428,28463,width,2M X 2M
4429,28464,height,14 cm
4430,28465,depth,The depth of the item is 10 cm.
4431,28466,depth,65CM
4432,28467,height,65CM
4433,28468,item_weight,239g
4434,28469,height,15 cm
4435,28470,width,133 mm
4436,28471,depth,133 mm
4437,28472,height,19cm
4438,28473,maximum_weight_recommendation,2000 Pounds
4439,28474,depth,4 inches
4440,28475,height,5.4cm/2.1in
4441,28476,depth,30cm
4442,28477,width,30cm
4443,28478,depth,61cm
4444,28479,width,61cm
4445,28480,height,"5.9"""
4446,28481,height,12cm
4447,28482,height,2.55 in
4448,28483,depth,2.75 in
4449,28484,depth,2.3 in
4450,28485,depth,14cm
4451,28486,height,132cm
4452,28487,height,8.5cm
4453,28488,width,8.5cm
4454,28489,depth,3.3 in
4455,28490,depth,12.5cm
4456,28491,height,12.5cm
4457,28492,width,12.5cm
4458,28493,maximum_weight_recommendation,10KG
4459,28494,depth,21 mm
4460,28495,width,55 mm
4461,28496,height,12cm
4462,28497,width,32 cm
4463,28498,depth,32 cm
4464,28499,height,270cm
4465,28500,height,20mm / 0.8in
4466,28501,item_weight,NET WT 4.4 OZ
4467,28502,maximum_weight_recommendation,18 pounds
4468,28503,depth,72in
4469,28504,height,72 in
4470,28505,width,"75"""
4471,28506,height,10 cm
4472,28507,width,26CM
4473,28508,height,"27.5"""
4474,28509,width,8.3in/21cm
4475,28510,depth,4.71/12cm
4476,28511,depth,5cm
4477,28512,width,53 cm
4478,28513,height,"54"""
4479,28514,height,13cm
4480,28515,maximum_weight_recommendation,The image does not provide a maximum weight recommendation for the item.
4481,28516,width,30cm/11.8in
4482,28517,depth,11cm
4483,28518,width,3.6cm
4484,28519,height,16cm
4485,28520,width,3.74 inches
4486,28521,depth,3.11in
4487,28522,height,46cm
4488,28523,width,25cm
4489,28524,width,34cm
4490,28525,height,11.5 cm
4491,28526,height,6 in
4492,28527,height,70 cm
4493,28528,depth,14cm
4494,28529,width,11.8cm
4495,28530,height,"2.75"""
4496,28531,depth,"2.75"""
4497,28532,depth,15.7 inches
4498,28533,height,15.7 inches
4499,28534,height,"23.5"" H"
4500,28535,depth,19 in
4501,28536,height,22cm
4502,28537,depth,15cm
4503,28538,width,36CM
4504,28539,width,"29.1"""
4505,28540,voltage,220/240VAC
4506,28541,wattage,60W
4507,28542,height,21cm
4508,28543,height,8cm
4509,28544,depth,27cm
4510,28545,depth,195mm
4511,28546,height,195mm
4512,28547,wattage,12V
4513,28548,item_weight,The image does not provide the item_weight of the item.
4514,28549,voltage,12V
4515,28550,item_weight,2.7 oz
4516,28551,wattage,12W
4517,28552,voltage,12V
4518,28553,depth,90cm/3ft
4519,28554,height,27cm
4520,28555,height,8.46 inches
4521,28556,height,30cm
4522,28557,width,4.72 inch
4523,28558,depth,3.54 inch/9cm
4524,28559,width,125.5mm
4525,28560,height,"44"""
4526,28561,height,20.5 mm
4527,28562,width,24.5 mm
4528,28563,depth,20.5 mm
4529,28564,voltage,10.8V
4530,28565,height,7.5 cm
4531,28566,depth,30CM
4532,28567,height,20cm
4533,28568,depth,20cm
4534,28569,height,7.5 in
4535,28570,width,5.2 in
4536,28571,width,16.5 cm
4537,28572,height,"72"""
4538,28573,wattage,100W
4539,28574,wattage,36V
4540,28575,voltage,36V
4541,28576,depth,3.54 in
4542,28577,height,3.54 in
4543,28578,width,73 cm
4544,28579,depth,73 cm
4545,28580,height,73 cm
4546,28581,width,21 cm
4547,28582,depth,21 cm
4548,28583,wattage,12V
4549,28584,voltage,12V
4550,28585,height,73 cm
4551,28586,item_weight,"2.3KG
4.5KG
6.8KG
9.1KG
10LB
20LB"
4552,28587,depth,3FT
4553,28588,width,"10.6"""
4554,28589,height,"10.6"""
4555,28590,maximum_weight_recommendation,1.56 inch
4556,28591,height,H: 82cm
4557,28592,height,"39"""
4558,28593,width,100cm
4559,28594,height,118 mm
4560,28595,item_weight,5 oz (142 g)
4561,28596,depth,47 cm
4562,28597,width,12.0 in
4563,28598,depth,12.0 in
4564,28599,depth,10 ft
4565,28600,width,10 ft
4566,28601,height,6.5 ft
4567,28602,depth,"3.15"""
4568,28603,depth,1 inch
4569,28604,height,1 inch
4570,28605,width,1 inch
4571,28606,maximum_weight_recommendation,20lbs
4572,28607,width,8.7cm
4573,28608,depth,"20"" x 26"""
4574,28609,width,"20"""
4575,28610,height,"20"" x 26"""
4576,28611,height,11.8in/30.0cm
4577,28612,height,110mm
4578,28613,depth,0.59 INCH
4579,28614,width,306mm
4580,28615,width,540 mm
4581,28616,height,72cm
4582,28617,depth,76cm
4583,28618,height,76 cm
4584,28619,width,76cm
4585,28620,depth,7.5cm
4586,28621,width,28 cm
4587,28622,height,11.22 inches
4588,28623,width,3.54 in
4589,28624,item_weight,10.1 in
4590,28625,width,32 in
4591,28626,height,32 in
4592,28627,depth,32 in
4593,28628,width,"47.2"""
4594,28629,height,"3.05"""
4595,28630,item_weight,The image does not provide a value for the item_weight.
4596,28631,maximum_weight_recommendation,The maximum weight recommendation for the item is not explicitly stated in the image.
4597,28632,width,60cm
4598,28633,depth,17.5mm
4599,28634,width,38.5mm
4600,28635,depth,18cm
4601,28636,width,34 cm
4602,28637,height,19.4 cm
4603,28638,depth,34 cm
4604,28639,depth,5.5cm
4605,28640,height,13.5cm / 5.3in
4606,28641,item_weight,5 LBS
4607,28642,height,27cm
4608,28643,depth,9.8 inch
4609,28644,height,21cm
4610,28645,depth,64 inches
4611,28646,width,64 inches
4612,28647,width,17cm
4613,28648,depth,16 cm
4614,28649,height,21 cm
4615,28650,depth,20 cm
4616,28651,height,20 cm
4617,28652,width,20 cm
4618,28653,width,120MM
4619,28654,depth,120MM
4620,28655,depth,0.3cm
4621,28656,height,Length: approx. 80cm/31.5in
4622,28657,width,0.3cm
4623,28658,item_weight,1.51 LB
4624,28659,depth,"0.90""23mm"
4625,28660,depth,75cm/29.5in
4626,28661,height,75cm/29.5in
4627,28662,wattage,15.6 W
4628,28663,voltage,120Hz
4629,28664,depth,120mm
4630,28665,height,"3-1/4"""
4631,28666,depth,"3-1/4"""
4632,28667,depth,210cm
4633,28668,item_weight,6 oz.
4634,28669,width,"22.24"""
4635,28670,width,2.31in / 5.86cm
4636,28671,width,25.9in
4637,28672,depth,5cm
4638,28673,width,10.2cm
4639,28674,item_volume,12 fl oz
4640,28675,depth,34 in
4641,28676,height,34 in
4642,28677,width,34 in
4643,28678,depth,86 mm
4644,28679,height,86 mm
4645,28680,width,86 mm
4646,28681,height,10.5 cm
4647,28682,depth,"2.17"""
4648,28683,depth,5.7 in
4649,28684,height,5.7 in
4650,28685,depth,4.5cm/17.7inch
4651,28686,width,70mm
4652,28687,depth,100 mm
4653,28688,height,7 cm
4654,28689,width,4.7cm
4655,28690,depth,7cm
4656,28691,width,7 7/8 in
4657,28692,depth,7 1/8 in
4658,28693,width,36cm
4659,28694,width,"84"""
4660,28695,depth,3.75 in
4661,28696,height,3.75 in
4662,28697,height,47.12 cm
4663,28698,width,16cm
4664,28699,depth,25cm
4665,28700,height,17.5cm
4666,28701,depth,9cm
4667,28702,width,13cm
4668,28703,maximum_weight_recommendation,33 LBS
4669,28704,width,"24"""
4670,28705,width,10cm
4671,28706,height,10cm / 3.9in
4672,28707,depth,10cm / 3.9in
4673,28708,height,22.4 in / 57 cm
4674,28709,width,5.9 in / 15 cm
4675,28710,depth,5.9 in / 15 cm
4676,28711,depth,18.86in
4677,28712,depth,1.8cm
4678,28713,maximum_weight_recommendation,200 pack
4679,28714,height,20cm
4680,28715,depth,20cm
4681,28716,width,88cm
4682,28717,depth,88cm
4683,28718,height,46cm
4684,28719,depth,16cm
4685,28720,height,16.3in
4686,28721,depth,29CM
4687,28722,height,14CM
4688,28723,height,174 cm
4689,28724,height,60cm
4690,28725,item_weight,150FT
4691,28726,item_weight,5g
4692,28727,voltage,160W
4693,28728,wattage,160W
4694,28729,item_weight,300g
4695,28730,height,15.5cm
4696,28731,voltage,3.8VDC
4697,28732,width,6.6cm
4698,28733,item_volume,12 FL OZ (355mL)
4699,28734,voltage,50V
4700,28735,wattage,50 W
4701,28736,item_weight,3.3 lb
4702,28737,width,57mm
4703,28738,height,6.3 in / 16.0 cm
4704,28739,depth,6.3 in / 16.0 cm
4705,28740,height,25cm
4706,28741,height,23 cm
4707,28742,width,106cm
4708,28743,height,38 cm
4709,28744,height,6 inch
4710,28745,depth,4 inch
4711,28746,depth,130cm
4712,28747,height,130cm
4713,28748,height,90cm
4714,28749,height,215mm
4715,28750,depth,30mm
4716,28751,height,180mm
4717,28752,depth,277mm
4718,28753,width,49mm
4719,28754,depth,8inch
4720,28755,width,8inch
4721,28756,height,6.88in/17.50cm
4722,28757,item_weight,1.30 kg
4723,28758,voltage,80V
4724,28759,height,71CM
4725,28760,depth,50cm
4726,28761,height,50cm
4727,28762,width,50cm
4728,28763,wattage,16W
4729,28764,voltage,3500V
4730,28765,voltage,12V
4731,28766,width,19cm
4732,28767,depth,3.14 in / 8 cm
4733,28768,width,3.14 in
4734,28769,width,5.5 inch
4735,28770,depth,28 inch
4736,28771,height,"30.9"""
4737,28772,height,207 mm
4738,28773,width,207 mm
4739,28774,depth,207 mm
4740,28775,depth,22cm
4741,28776,height,33cm
4742,28777,maximum_weight_recommendation,110.2 lbs
4743,28778,item_weight,7.82oz
4744,28779,width,"60.3"""
4745,28780,height,107 cm
4746,28781,height,75cm
4747,28782,width,23.5cm
4748,28783,depth,23.5cm
4749,28784,width,17.5cm
4750,28785,height,18cm
4751,28786,width,"12"""
4752,28787,depth,"12-1/2"""
4753,28788,voltage,2.3V
4754,28789,height,"16"""
4755,28790,height,9.5 Inch
4756,28791,depth,9.5 Inch
4757,28792,width,9.5 Inch
4758,28793,item_weight,460W
4759,28794,wattage,460W
4760,28795,height,"38.2"""
4761,28796,maximum_weight_recommendation,350Lbs
4762,28797,height,59cm
4763,28798,depth,9.3CM
4764,28799,height,9.3CM
4765,28800,maximum_weight_recommendation,150 lbs
4766,28801,height,16.5 in / 42.0 cm
4767,28802,height,3.54in
4768,28803,voltage,5500 WATT
4769,28804,item_weight,5500 WATT
4770,28805,wattage,5500 WATT
4771,28806,height,177 cm
4772,28807,depth,30 inches
4773,28808,item_weight,The image does not provide the item_weight of the Apple iPhone 11.
4774,28809,depth,3 ft
4775,28810,height,195 mm
4776,28811,height,"8.66"""
4777,28812,height,"2.8"" H"
4778,28813,depth,"2.5"""
4779,28814,item_weight,The image does not provide the item_weight of the item.
4780,28815,item_weight,1.1 OZ. (31g)
4781,28816,item_weight,55 lbs
4782,28817,width,42in/108cm
4783,28818,height,18cm
4784,28819,width,"3.9"" W"
4785,28820,height,"7.9"" H"
4786,28821,width,25 cm
4787,28822,wattage,1700W
4788,28823,width,17cm
4789,28824,depth,22 inches
4790,28825,width,38.6 inches
4791,28826,item_weight,36.1 lbs
4792,28827,depth,260mm
4793,28828,height,28cm
4794,28829,height,15cm
4795,28830,width,"31.5"""
4796,28831,item_volume,4 fl. oz.
4797,28832,height,9.5cm
4798,28833,depth,3cm
4799,28834,maximum_weight_recommendation,330 lbs
4800,28835,depth,6.5 inch/16 cm
4801,28836,height,12.2 inch/31 cm
4802,28837,width,12.2 inch
4803,28838,depth,24 inches
4804,28839,height,24 inches (60 cm)
4805,28840,width,24 inches
4806,28841,height,11.5cm
4807,28842,depth,10 cm
4808,28843,width,10 cm
4809,28844,width,18 cm
4810,28845,depth,4.3 cm
4811,28846,height,"11.8"""
4812,28847,width,"10.2"""
4813,28848,depth,0.98 inch (25mm)
4814,28849,item_weight,70g
4815,28850,item_volume,1.5 FL. OZ.
4816,28851,depth,3in
4817,28852,height,6in
4818,28853,item_weight,The image does not provide the item_weight of the golf club.
4819,28854,height,120cm
4820,28855,height,"19.7"""
4821,28856,width,21.3cm/8.38inch
4822,28857,height,21.3cm/8.38inch
4823,28858,width,4 inches
4824,28859,height,44mm
4825,28860,depth,44mm
4826,28861,depth,300mm
4827,28862,width,300mm
4828,28863,width,11.02 in
4829,28864,height,17.317/44cm
4830,28865,maximum_weight_recommendation,33 LBS
4831,28866,depth,4 cm
4832,28867,width,4 cm
4833,28868,width,18cm
4834,28869,item_weight,NET WT 8 OZ (227 g)
4835,28870,height,2 inches
4836,28871,depth,2 inches
4837,28872,width,3 inches
4838,28873,width,124cm
4839,28874,depth,"3.93"""
4840,28875,height,"11.5"""
4841,28876,depth,1.38 in
4842,28877,width,"30"" x 120"""
4843,28878,height,11 x 6 cm
4844,28879,depth,7.0cm
4845,28880,wattage,2000W
4846,28881,item_weight,2000W
4847,28882,voltage,2000W
4848,28883,voltage,77.7 Watts
4849,28884,item_weight,5374 Cubic Feet Per Minute
4850,28885,wattage,77.7 Watts
4851,28886,width,6.3 inch
4852,28887,width,"14.96"""
4853,28888,width,29.5cm
4854,28889,width,2.82IN
4855,28890,wattage,2200W
4856,28891,voltage,220V
4857,28892,item_weight,The image does not provide the item_weight of the product.
4858,28893,height,7cm
4859,28894,item_weight,40 LB
4860,28895,width,20 inches
4861,28896,depth,20 inches
4862,28897,width,65cm
4863,28898,depth,65cm
4864,28899,depth,7 inch
4865,28900,height,7 inch
4866,28901,width,7 inch
4867,28902,height,5.3 inches
4868,28903,depth,5.3 inches
4869,28904,width,5.3 inches
4870,28905,height,133CM
4871,28906,depth,7cm
4872,28907,width,7cm
4873,28908,height,7cm
4874,28909,height,"15.7"""
4875,28910,height,10mm
4876,28911,width,105mm
4877,28912,depth,10mm
4878,28913,depth,10cm
4879,28914,width,15.5cm
4880,28915,width,140 cm
4881,28916,depth,140 cm
4882,28917,height,1.2CM
4883,28918,width,2.7 inch
4884,28919,depth,2.7 inch
4885,28920,width,6.5CM
4886,28921,depth,7.5CM
4887,28922,height,7.5CM/2.9IN
4888,28923,width,60 cm
4889,28924,depth,7CM
4890,28925,width,7CM
4891,28926,item_weight,3.42 oz
4892,28927,width,6.2cm
4893,28928,height,3.6in
4894,28929,width,6cm
4895,28930,height,6cm
4896,28931,depth,45 cm
4897,28932,height,45 cm
4898,28933,maximum_weight_recommendation,80kg / 176lb
4899,28934,item_weight,120g
4900,28935,height,13.11 cm
4901,28936,height,200cm
4902,28937,depth,68 cm
4903,28938,wattage,The wattage of the item is not provided in the image.
4904,28939,item_weight,0.65kg
4905,28940,height,5.7cm
4906,28941,depth,9.5 cm
4907,28942,width,"47.24"""
4908,28943,width,86mm
4909,28944,height,34.5 cm
4910,28945,depth,3.5in
4911,28946,width,11.4 in
4912,28947,depth,2 inches
4913,28948,height,2 inches
4914,28949,width,2 inches
4915,28950,height,2.48 inches
4916,28951,wattage,20V
4917,28952,item_weight,The image does not provide the item_weight of the item.
4918,28953,item_weight,200 g
4919,28954,item_weight,3.5W
4920,28955,wattage,30W
4921,28956,voltage,12V
4922,28957,height,615mm
4923,28958,depth,2.4 in / 6 cm
4924,28959,width,2.4 in / 6 cm
4925,28960,height,2.4 in / 6 cm
4926,28961,height,13in
4927,28962,height,25.5 cm
4928,28963,width,20.5cm
4929,28964,height,39.37 cm
4930,28965,height,192MM
4931,28966,width,110 cm
4932,28967,height,102mm
4933,28968,depth,The image does not provide any information regarding the depth of the item.
4934,28969,width,"10.2"""
4935,28970,item_weight,110g
4936,28971,width,5.1 in
4937,28972,width,15 in
4938,28973,width,0.98 inch
4939,28974,height,0.98 inch
4940,28975,width,39mm
4941,28976,depth,39mm
4942,28977,height,17mm
4943,28978,item_weight,1 lb (454 g)
4944,28979,depth,8cm
4945,28980,width,"11.61"""
4946,28981,depth,0.47in
4947,28982,height,4.02 inches
4948,28983,width,112cm
4949,28984,depth,26cm
4950,28985,height,7cm
4951,28986,width,7cm
4952,28987,depth,7cm
4953,28988,height,16 cm
4954,28989,height,160cm / 63.0in
4955,28990,depth,43cm / 16.9in
4956,28991,depth,112cm
4957,28992,width,112cm
4958,28993,depth,176cm x 83cm
4959,28994,width,8 cm
4960,28995,depth,8 cm
4961,28996,width,40.64cm
4962,28997,width,190mm
4963,28998,height,"100mm/3.94"""
4964,28999,item_weight,9 BAGS
4965,29000,width,7.28 in
4966,29001,item_weight,The image does not provide the item_weight of the product.
4967,29002,width,17mm
4968,29003,height,17.5cm
4969,29004,depth,17mm
4970,29005,wattage,1200W
4971,29006,width,20.5 cm
4972,29007,height,36 cm (14.1 in)
4973,29008,depth,25CM/9.9INCH
4974,29009,width,155mm / 6.1 inch
4975,29010,depth,30x40 cm
4976,29011,height,30x40 cm
4977,29012,height,12cm
4978,29013,depth,12cm
4979,29014,maximum_weight_recommendation,1650 Pound
4980,29015,height,115mm / 4.5in
4981,29016,depth,55mm
4982,29017,width,55mm
4983,29018,width,70 inch
4984,29019,height,183 cm
4985,29020,depth,25cm
4986,29021,height,25cm
4987,29022,width,24cm
4988,29023,height,23.3 inch
4989,29024,voltage,110V
4990,29025,wattage,110V
4991,29026,height,2.95 in
4992,29027,depth,5 inches
4993,29028,height,5 inches
4994,29029,width,6cm
4995,29030,height,3.78in
4996,29031,item_weight,The image does not provide any information about the item_weight of the sofa.
4997,29032,maximum_weight_recommendation,The image does not provide a maximum weight recommendation for the item.
4998,29033,width,1.38 inches
4999,29034,width,"24"""
5000,29035,depth,90x190 cm
5001,29036,height,90x190 cm
5002,29037,depth,60cm
5003,29038,depth,32cm
5004,29039,height,30.5cm
5005,29040,depth,33mm
5006,29041,width,44mm
5007,29042,height,14cm
5008,29043,width,6cm
5009,29044,height,33cm
5010,29045,maximum_weight_recommendation,60 LB
5011,29046,width,"7"""
5012,29047,depth,"9"""
5013,29048,width,39cm
5014,29049,height,39cm/15in
5015,29050,depth,65mm
5016,29051,width,65mm
5017,29052,height,130mm / 5.11in
5018,29053,voltage,20000 mAh
5019,29054,height,9in
5020,29055,width,7.5in/19cm
5021,29056,item_weight,200g
5022,29057,width,"20"""
5023,29058,depth,"20"""
5024,29059,item_weight,The item weight for the size XS is 15-22 lbs.
5025,29060,width,"1.75"""
5026,29061,item_weight,17.6 oz (500g)
5027,29062,width,3.74 in
5028,29063,item_weight,70.5 LBS
5029,29064,width,200mm
5030,29065,depth,11.5cm
5031,29066,height,14.7 cm
5032,29067,height,44cm
5033,29068,depth,28cm
5034,29069,width,"10.5"""
5035,29070,depth,75CM
5036,29071,depth,5 in
5037,29072,height,430mm
5038,29073,depth,75 cm
5039,29074,height,75 cm
5040,29075,width,32 cm
5041,29076,wattage,1700W
5042,29077,voltage,320V
5043,29078,depth,9.4 cm
5044,29079,height,25.7 cm
5045,29080,width,33cm
5046,29081,depth,33cm
5047,29082,height,"31.5"""
5048,29083,depth,"21.3"""
5049,29084,depth,25cm/9.8in
5050,29085,width,20.07 inch
5051,29086,wattage,2200W
5052,29087,voltage,2200W
5053,29088,height,3x3m
5054,29089,width,3x3m
5055,29090,depth,3x3m
5056,29091,width,32.6in
5057,29092,height,104.4 cm
5058,29093,width,4FT
5059,29094,depth,3FT
5060,29095,height,3FT
5061,29096,width,14cm
5062,29097,item_volume,120ml
5063,29098,depth,223MM
5064,29099,width,5.1in
5065,29100,voltage,18V
5066,29101,depth,35 cm
5067,29102,height,31.5 cm
5068,29103,height,75 cm
5069,29104,depth,278 mm
5070,29105,width,278 mm
5071,29106,height,146 mm
5072,29107,depth,87 mm
5073,29108,depth,10cm
5074,29109,height,10cm
5075,29110,depth,18 mm
5076,29111,width,18 mm
5077,29112,height,18 mm
5078,29113,item_weight,3.0 OZ
5079,29114,height,38cm
5080,29115,width,20CM
5081,29116,height,20CM
5082,29117,depth,20CM
5083,29118,height,2.5 in (6.4 cm)
5084,29119,depth,2.25 in (5.5cm)
5085,29120,depth,20cm
5086,29121,depth,40mm
5087,29122,height,50mm
5088,29123,height,25.0 cm
5089,29124,width,9.84 in
5090,29125,depth,25.0 cm
5091,29126,height,"38.58"""
5092,29127,height,35cm
5093,29128,width,24.5cm
5094,29129,height,3.9 inches
5095,29130,depth,3.8 inch
5096,29131,width,13cm
5097,29132,depth,13cm
5098,29133,depth,3.3 inch
5099,29134,height,7 In
5100,29135,depth,7 In
5101,29136,depth,4.57 inches
5102,29137,width,4.57 inches
5103,29138,height,19 cm
5104,29139,width,"W4.75"""
5105,29140,height,"H19.25"""
5106,29141,height,230mm
5107,29142,depth,230mm
5108,29143,item_weight,13.0 OZ
5109,29144,height,"3.15"""
5110,29145,depth,27.56 inches
5111,29146,height,70cm
5112,29147,height,76.9CM
5113,29148,width,6.8cm
5114,29149,depth,"6.7"""
5115,29150,height,"59"""
5116,29151,item_volume,12 fl oz
5117,29152,height,6.4cm
5118,29153,width,8cm
5119,29154,depth,8cm
5120,29155,width,8cm
5121,29156,height,8cm
5122,29157,height,4.7 inch
5123,29158,width,38.5mm
5124,29159,depth,8cm
5125,29160,width,58mm
5126,29161,height,18cm
5127,29162,depth,14cm
5128,29163,width,18cm
5129,29164,height,7.87 in
5130,29165,width,7.08in
5131,29166,wattage,12
5132,29167,voltage,12V
5133,29168,height,22cm/8.66in
5134,29169,height,3 inches
5135,29170,depth,3 inches
5136,29171,depth,420mm
5137,29172,width,420mm
5138,29173,height,58cm
5139,29174,height,"72"""
5140,29175,depth,"34"""
5141,29176,width,"15.7"""
5142,29177,width,4.4cm
5143,29178,depth,11.3cm
5144,29179,height,11.3cm
5145,29180,height,22mm
5146,29181,depth,22mm
5147,29182,maximum_weight_recommendation,25 lb / 11 kg
5148,29183,width,10.87 in
5149,29184,width,5.25 in
5150,29185,depth,7.25 in
5151,29186,item_weight,The item weight is not provided in the image.
5152,29187,voltage,5V
5153,29188,wattage,5V
5154,29189,width,25mm
5155,29190,height,19mm
5156,29191,depth,"78.7"" (200cm)"
5157,29192,width,70 cm
5158,29193,wattage,285
5159,29194,voltage,24V
5160,29195,item_weight,The image does not provide the item_weight of the item.
5161,29196,height,21.3mm
5162,29197,depth,21.3mm
5163,29198,depth,25cm
5164,29199,height,25cm
5165,29200,depth,"2.21"""
5166,29201,depth,8.6CM
5167,29202,width,8.6CM
5168,29203,height,"10.6"""
5169,29204,depth,18cm
5170,29205,width,18cm
5171,29206,item_weight,26g
5172,29207,height,3.1 in
5173,29208,width,8 inch
5174,29209,voltage,20V MAX
5175,29210,item_weight,100g
5176,29211,depth,7.07 in
5177,29212,height,13.76 in / 35 cm
5178,29213,item_volume,100 ml
5179,29214,depth,280mm
5180,29215,width,280mm
5181,29216,height,280mm
5182,29217,height,6.69 inch
5183,29218,item_weight,3 OZ (85g)
5184,29219,depth,"6.63"""
5185,29220,height,"6.63"""
5186,29221,depth,"2.76"""
5187,29222,height,"2.76"""
5188,29223,voltage,24V
5189,29224,wattage,240 W
5190,29225,height,11.433in
5191,29226,depth,11cm/4.33in
5192,29227,height,"51.2""H"
5193,29228,width,40cm
5194,29229,height,0.5cm
5195,29230,height,300cm
5196,29231,depth,300cm
5197,29232,wattage,1000W
5198,29233,voltage,220V
5199,29234,depth,18in/45.5cm
5200,29235,depth,210mm
5201,29236,depth,8 Inch
5202,29237,height,8 inch
5203,29238,width,8 Inch
5204,29239,depth,44.5 cm
5205,29240,height,44.5 cm
5206,29241,width,75MM
5207,29242,height,50cm/19.7in
5208,29243,height,5.9 inch
5209,29244,depth,81mm
5210,29245,height,81mm
5211,29246,width,81mm
5212,29247,width,"6"""
5213,29248,height,21mm
5214,29249,maximum_weight_recommendation,22.2kg
5215,29250,width,3.3 inch
5216,29251,height,4cm
5217,29252,depth,4cm
5218,29253,height,"23.6"""
5219,29254,depth,3.9 in
5220,29255,width,6.7 in
5221,29256,height,"25.02"""
5222,29257,height,68cm
5223,29258,height,"69.7"""
5224,29259,depth,11cm
5225,29260,width,11cm
5226,29261,depth,8.26 in / 21 cm
5227,29262,height,2.75 in / 7 cm
5228,29263,width,7.5cm
5229,29264,height,9.3 inch
5230,29265,depth,30cm
5231,29266,width,30cm
5232,29267,width,14.5 inches
5233,29268,height,245 cm
5234,29269,depth,59 cm
5235,29270,height,22.5 cm
5236,29271,item_weight,50g
5237,29272,height,9 inch
5238,29273,depth,40 cm
5239,29274,height,60 cm
5240,29275,height,22cm
5241,29276,depth,1cm
5242,29277,width,1cm
5243,29278,height,92cm
5244,29279,width,12mm
5245,29280,depth,120mm
5246,29281,height,41 cm
5247,29282,width,300cm
5248,29283,width,35.5 cm
5249,29284,item_weight,7 INCH
5250,29285,height,"9"""
5251,29286,height,9.847 / 25cm
5252,29287,width,7.8cm
5253,29288,depth,"24"" x 72"""
5254,29289,width,"24"" x 72"""
5255,29290,height,"13 1/2"""
5256,29291,depth,45mm
5257,29292,height,"45mm / 1.8"""
5258,29293,width,88mm
5259,29294,depth,27MM
5260,29295,width,27MM
5261,29296,depth,"43""H"
5262,29297,item_weight,12 oz
5263,29298,depth,"4.25"""
5264,29299,width,"4.25"""
5265,29300,height,2.16 inch (55mm)
5266,29301,item_weight,The image does not provide the item_weight of the item.
5267,29302,wattage,10W
5268,29303,height,19.5cm
5269,29304,depth,8.5cm
5270,29305,width,34.5 cm
5271,29306,depth,1.0 in / 2.5 cm
5272,29307,height,"Total length: 4.7 in / 12.0 cm
Diameter: 1.0 in / 2.5 cm"
5273,29308,width,3.6cm
5274,29309,depth,1.5cm
5275,29310,height,23cm
5276,29311,width,4.5 cm
5277,29312,height,17.5cm
5278,29313,width,4.4cm
5279,29314,item_weight,19.1g
5280,29315,width,5.3 in
5281,29316,depth,5.3 in
5282,29317,item_weight,82 Watts
5283,29318,voltage,82 Watts
5284,29319,wattage,82 Watts
5285,29320,height,79 cm
5286,29321,maximum_weight_recommendation,50 LB
5287,29322,height,4.6in
5288,29323,depth,45cm
5289,29324,width,155MM
5290,29325,depth,155MM
5291,29326,wattage,"10,000 BTU"
